time,latitude,longitude,mag,nst,net
2013-12-10T19:59:08.400Z,38.8142,-122.784,0.5,,nc
2013-12-10T19:53:51.000Z,60.6559,-151.1168,1.3,6,ak
2013-12-10T19:52:32.000Z,61.6654,-149.5474,1.5,,ak
2013-12-10T19:39:37.000Z,60.4008,-151.109,1.8,,ak
2013-12-10T19:38:49.000Z,59.9524,-152.0885,1.4,,ak
2013-12-10T19:31:54.400Z,38.8127,-122.8113,0.2,,nc
2013-12-10T19:10:06.800Z,38.7675,-122.7118,1.8,,nc
2013-12-10T19:04:55.900Z,45.1272,-123.0843,1.9,,uw
2013-12-10T18:52:45.400Z,38.8468,-122.8227,0.4,,nc
2013-12-10T18:24:34.550Z,33.502,-116.4438333,0.71,22,ci
2013-12-10T18:20:04.800Z,37.6325,-118.933,1.2,,nc
2013-12-10T18:14:46.600Z,37.6355,-118.9313,1.6,,nc
2013-12-10T18:09:41.000Z,62.252,-149.5818,1.3,16,ak
2013-12-10T18:04:30.100Z,37.6367,-118.928,1.5,,nc
2013-12-10T17:49:02.700Z,37.6368,-118.9312,1.2,,nc
2013-12-10T17:48:19.000Z,61.3392,-147.3892,1.5,5,ak
2013-12-10T17:43:09.870Z,34.8433333,-118.1208333,1.7,30,ci
2013-12-10T17:28:31.930Z,10.716,-85.5331,5.1,,us
2013-12-10T17:27:31.500Z,47.7502,-122.877,0.5,,uw
2013-12-10T17:23:50.300Z,39.4358,-120.2812,1.5,,nc
2013-12-10T16:48:08.700Z,38.7908,-122.7632,0.5,,nc
2013-12-10T16:35:38.000Z,63.158,-151.5199,3.8,70,ak
2013-12-10T16:30:24.600Z,37.6302,-118.9293,2.4,,nc
2013-12-10T16:23:28.000Z,61.9949,-151.104,1.7,21,ak
2013-12-10T16:16:36.000Z,63.0793,-151.428,1.8,19,ak
2013-12-10T16:13:55.700Z,37.634,-118.9307,1.3,,nc
2013-12-10T15:58:25.800Z,38.8252,-122.8077,0.8,,nc
2013-12-10T15:53:58.700Z,37.6472,-118.9282,1.1,,nc
2013-12-10T15:37:52.000Z,61.7339,-141.8336,1.3,12,ak
2013-12-10T15:29:37.000Z,61.661,-150.0711,1.5,25,ak
2013-12-10T15:24:29.200Z,36.2904,21.357,4.7,,us
2013-12-10T15:10:16.000Z,59.8601,-150.7444,1.4,6,ak
2013-12-10T15:01:15.000Z,63.4243,-145.0052,2.2,34,ak
2013-12-10T14:52:11.400Z,18.079,-68.3823,3.2,18,pr
2013-12-10T13:59:14.000Z,61.1992,-149.8928,1,8,ak
2013-12-10T13:40:19.560Z,35.024,-118.5586667,1.33,12,ci
2013-12-10T13:37:18.200Z,38.8012,-122.7872,1.1,,nc
2013-12-10T13:35:36.500Z,33.2815,-116.7746667,1.05,35,ci
2013-12-10T13:23:41.000Z,62.564,-151.0865,2.4,57,ak
2013-12-10T13:20:03.000Z,38.7863,-122.7803,0.6,,nc
2013-12-10T12:56:12.600Z,38.821,-122.8072,0.6,,nc
2013-12-10T12:38:18.100Z,48.6313,-123.7987,0.9,,uw
2013-12-10T12:30:28.730Z,33.9898333,-118.6943333,2.75,67,ci
2013-12-10T12:17:41.000Z,61.5503,-148.2901,0.8,6,ak
2013-12-10T11:50:55.970Z,34.0121667,-116.3168333,0.89,18,ci
2013-12-10T11:46:55.000Z,59.7364,-151.862,2.3,37,ak
2013-12-10T11:43:41.000Z,38.771,-122.7635,0.6,,nc
2013-12-10T11:33:40.000Z,63.8118,-148.4109,1.3,17,ak
2013-12-10T11:26:07.000Z,63.0789,-151.0863,1.9,25,ak
2013-12-10T11:02:48.000Z,60.0747,-141.438,1.8,21,ak
2013-12-10T10:57:42.000Z,60.1564,-141.3979,1.5,13,ak
2013-12-10T10:23:17.500Z,38.8452,-122.7437,1.2,,nc
2013-12-10T10:15:31.900Z,38.8173,-122.8057,0.5,,nc
2013-12-10T10:15:24.000Z,38.7593,-122.7248,1.1,,nc
2013-12-10T10:14:27.000Z,60.1793,-141.615,1,5,ak
2013-12-10T10:12:09.400Z,38.8178,-122.8072,1,,nc
2013-12-10T10:11:56.100Z,38.8222,-122.8068,0.9,,nc
2013-12-10T10:05:53.570Z,33.6901667,-116.7131667,0.61,19,ci
2013-12-10T09:56:02.500Z,18.7975,-64.3772,3.1,10,pr
2013-12-10T09:42:39.250Z,54.7231,-160.4195,4.5,,us
2013-12-10T09:40:29.000Z,62.9608,-149.3312,0.8,8,ak
2013-12-10T09:29:57.100Z,38.8173,-122.8073,0.9,,nc
2013-12-10T09:26:58.000Z,63.0266,-151.4462,1.5,13,ak
2013-12-10T09:10:33.000Z,64.5843,-149.5581,1.2,,ak
2013-12-10T09:09:51.000Z,61.6421,-151.7457,1.4,,ak
2013-12-10T08:54:26.300Z,35.2763,-83.2983,1.5,5,se
2013-12-10T08:43:31.000Z,63.3627,-145.4216,1.2,6,ak
2013-12-10T08:33:30.500Z,36.207,-82.8607,1.8,10,se
2013-12-10T08:15:56.500Z,38.8162,-122.8102,0.8,,nc
2013-12-10T08:14:49.600Z,38.81,-122.7928,1.4,,nc
2013-12-10T08:02:56.000Z,60.0883,-150.8126,1.7,20,ak
2013-12-10T07:53:50.000Z,51.6123,-179.1394,2.3,,ak
2013-12-10T07:44:38.125Z,38.6973,-119.7709,1.45,15,nn
2013-12-10T07:37:21.000Z,60.9445,-149.2289,1,4,ak
2013-12-10T07:32:44.000Z,61.0153,-151.3744,2.3,45,ak
2013-12-10T07:20:56.000Z,59.8179,-142.2632,1.4,8,ak
2013-12-10T07:20:46.900Z,40.323,-123.7447,2,,nc
2013-12-10T07:07:27.980Z,34.011,-116.7171667,0.86,25,ci
2013-12-10T07:05:34.220Z,34.0105,-116.7185,1,27,ci
2013-12-10T06:53:26.430Z,33.5085,-116.4705,0.42,19,ci
2013-12-10T06:40:15.000Z,61.5732,-141.1203,1.1,4,ak
2013-12-10T06:38:11.910Z,-61.457,153.6691,5,,us
2013-12-10T06:19:10.100Z,46.0503,-122.523,0.3,,uw
2013-12-10T06:07:07.900Z,38.8075,-122.8245,0.9,,nc
2013-12-10T05:47:08.000Z,62.222,-150.137,1.2,7,ak
2013-12-10T05:44:24.890Z,33.4766667,-116.5,0.62,21,ci
2013-12-10T05:28:17.600Z,46.096,-122.4638,0.3,,uw
2013-12-10T05:23:08.800Z,54.7212,162.1593,4.8,,us
2013-12-10T05:21:54.000Z,61.4913,-147.9808,1.5,18,ak
2013-12-10T05:20:26.100Z,46.1,-122.4935,1,,uw
2013-12-10T04:27:16.530Z,-5.7797,102.0204,5.3,,us
2013-12-10T04:14:21.000Z,61.1482,-146.9934,1.8,13,ak
2013-12-10T04:11:43.700Z,47.7985,-122.3232,2,,uw
2013-12-10T04:06:01.000Z,63.1956,-145.092,1.8,,ak
2013-12-10T04:02:33.473Z,39.6235,-119.9917,0.41,12,nn
2013-12-10T03:52:23.400Z,36.7427,-121.4077,1.4,,nc
2013-12-10T03:48:33.000Z,63.5543,-147.3341,1.5,17,ak
2013-12-10T03:43:02.000Z,61.6187,-141.981,1.1,8,ak
2013-12-10T03:15:56.100Z,38.8192,-122.7962,0.5,,nc
2013-12-10T03:13:07.700Z,19.3908,-155.2217,2.3,,hv
2013-12-10T02:46:07.000Z,18.7752,-64.6536,2.6,5,pr
2013-12-10T02:35:55.400Z,19.1508,-64.4206,3,12,pr
2013-12-10T02:31:33.000Z,61.8187,-150.4323,1.5,24,ak
2013-12-10T02:30:41.500Z,33.4625,-116.456,1.16,36,ci
2013-12-10T02:20:47.000Z,60.191,-141.4661,1.2,9,ak
2013-12-10T02:15:09.600Z,47.5682,-122.4407,0.9,,uw
2013-12-10T02:09:04.100Z,38.7857,-122.7487,0.5,,nc
2013-12-10T02:04:52.000Z,48.5885,-119.654,1.9,,uw
2013-12-10T02:04:43.430Z,33.1951667,-115.5735,0.95,17,ci
2013-12-10T01:55:02.600Z,36.9462,-121.5438,1.2,,nc
2013-12-10T01:34:32.000Z,60.0945,-141.1973,1.7,8,ak
2013-12-10T01:27:30.270Z,23.009,143.0103,5.3,,us
2013-12-10T01:23:11.500Z,40.8498,-111.5537,2.7,,uu
2013-12-10T01:18:30.900Z,38.8252,-122.799,0.9,,nc
2013-12-10T01:16:30.000Z,61.6402,-150.294,1.8,27,ak
2013-12-10T00:51:27.950Z,-31.3886,-69.1359,5.4,,us
2013-12-10T00:42:42.000Z,59.7943,-153.2657,1.9,21,ak
2013-12-10T00:30:22.000Z,65.0146,-147.3531,1.3,6,ak
2013-12-10T00:26:14.500Z,38.843,-122.8293,0.9,,nc
2013-12-09T23:56:55.280Z,-0.0168,122.8384,4.5,,us
2013-12-09T23:54:47.470Z,33.463,-116.4565,1.01,34,ci
2013-12-09T23:48:55.890Z,33.5113333,-116.4695,0.82,22,ci
2013-12-09T23:47:27.000Z,61.6037,-147.904,1,7,ak
2013-12-09T23:45:57.310Z,32.6198333,-116.9735,1.5,18,ci
2013-12-09T23:28:54.000Z,38.8252,-122.8095,1.7,,nc
2013-12-09T23:22:33.000Z,62.8809,-151.6173,1.7,13,ak
2013-12-09T23:12:21.680Z,20.713,146.7525,4.9,,us
2013-12-09T23:08:52.000Z,48.0918,-121.948,1.6,,uw
2013-12-09T23:04:09.700Z,39.6177,-123.4783,2.2,,nc
2013-12-09T23:02:04.000Z,60.3362,-141.1958,1,6,ak
2013-12-09T22:42:49.200Z,38.739,-122.691,1,,nc
2013-12-09T22:41:17.000Z,63.2056,-149.0993,0.7,6,ak
2013-12-09T22:33:34.900Z,19.4048,-155.2808,1.9,,hv
2013-12-09T21:58:33.600Z,38.8435,-122.8403,0.9,,nc
2013-12-09T21:31:25.500Z,37.4602,-118.7427,1.2,,nc
2013-12-09T21:11:28.000Z,60.3871,-152.8657,2.4,32,ak
2013-12-09T21:06:43.000Z,60.7371,-151.7395,1.7,,ak
2013-12-09T20:56:49.700Z,38.7442,-122.7027,1.6,,nc
2013-12-09T20:56:25.900Z,38.746,-122.7035,1.1,,nc
2013-12-09T20:47:50.000Z,60.8431,-152.0381,1.5,6,ak
2013-12-09T20:47:01.500Z,35.4267,-120.5697,1.3,,nc
