time,latitude,longitude,mag,net
2013-11-23T16:26:42.410Z,42.2718,142.5892,4.6,us
2013-11-23T15:56:17.000Z,64.4338,-148.4377,1.3,ak
2013-11-23T15:55:23.800Z,33.931,-116.7887,1.2,ci
2013-11-23T15:51:07.400Z,48.2677,-122.2025,1.1,uw
2013-11-23T15:49:59.000Z,63.5364,-147.9254,1.5,ak
2013-11-23T15:33:29.000Z,61.6527,-149.8058,1.9,ak
2013-11-23T14:47:00.100Z,34.5215,-116.5352,2,ci
2013-11-23T14:32:14.200Z,33.8843,-116.8622,1.1,ci
2013-11-23T14:22:59.700Z,33.6827,-116.743,1.2,ci
2013-11-23T14:20:29.000Z,62.2201,-150.1964,1.9,ak
2013-11-23T12:51:03.000Z,62.289,-150.6143,1.8,ak
2013-11-23T12:51:02.000Z,62.2714,-150.6434,1.8,ak
2013-11-23T12:32:46.200Z,34.5233,-116.5352,1.2,ci
2013-11-23T12:21:47.147Z,39.8196,-120.7397,1.11,nn
2013-11-23T12:06:49.000Z,60.378,-141.3959,2,ak
2013-11-23T11:38:03.000Z,59.8718,-152.5801,3.9,ak
2013-11-23T11:33:54.000Z,59.6862,-151.5482,1.4,ak
2013-11-23T11:04:06.000Z,19.2638,-155.2355,1.8,hv
2013-11-23T10:57:14.700Z,18.295,-67.987,3.3,pr
2013-11-23T10:50:16.800Z,33.5073,-116.4928,1.2,ci
2013-11-23T10:18:38.000Z,63.4305,-146.0744,1.7,ak
2013-11-23T10:14:39.000Z,62.8353,-151.1696,2,ak
2013-11-23T09:50:16.200Z,33.6845,-116.7245,1,ci
2013-11-23T09:43:32.760Z,32.9225,-97.5963,2.9,us
2013-11-23T09:42:08.510Z,42.5314,75.7169,4.9,us
2013-11-23T09:36:47.570Z,-35.4467,-178.9824,4.7,us
2013-11-23T09:31:00.000Z,62.5978,-143.1764,2.1,ak
2013-11-23T08:51:42.170Z,-16.2517,-172.794,4.6,us
2013-11-23T08:03:07.400Z,18.5809,-66.6082,2.8,pr
2013-11-23T07:48:32.670Z,-17.0971,-176.5618,6.5,us
2013-11-23T07:29:47.000Z,63.5884,-149.0141,1.3,ak
2013-11-23T07:14:53.000Z,63.51,-147.8849,1.5,ak
2013-11-23T06:59:46.700Z,29.3816,138.8567,4.1,us
2013-11-23T06:49:18.700Z,14.0974,-92.5655,4.8,us
2013-11-23T06:37:01.300Z,33.6665,-116.7213,1,ci
2013-11-23T06:31:09.990Z,14.3004,-91.9264,3.9,us
2013-11-23T06:27:55.500Z,48.4212,-122.539,1.5,uw
2013-11-23T06:16:34.000Z,63.3772,-151.6983,2,ak
2013-11-23T06:13:10.000Z,58.2377,-154.8454,2.2,ak
2013-11-23T05:44:13.480Z,37.0291,120.114,4.6,us
2013-11-23T05:40:44.000Z,63.4892,-148.1935,1.7,ak
2013-11-23T05:32:37.240Z,36.4063,-112.2908,3,us
2013-11-23T05:20:45.000Z,64.9667,-148.8789,1.5,ak
2013-11-23T05:02:08.000Z,59.9586,-152.787,2.8,ak
2013-11-23T03:57:46.000Z,59.2525,-152.5326,3.2,ak
2013-11-23T03:47:36.800Z,18.8845,-64.2997,2.4,pr
2013-11-23T03:39:00.100Z,34.0263,-117.1253,1.2,ci
2013-11-23T03:29:57.830Z,-32.3599,-176.5292,4.3,us
2013-11-23T03:29:57.600Z,19.416,-155.2762,1.7,hv
2013-11-23T03:23:32.800Z,47.7082,-120.277,2,uw
2013-11-23T03:14:17.000Z,63.7231,-149.1316,1.6,ak
2013-11-23T03:14:02.800Z,19.373,-155.077,1.8,hv
2013-11-23T02:39:45.000Z,64.836,-150.0643,1.8,ak
2013-11-23T02:26:42.000Z,63.4188,-151.998,1.3,ak
2013-11-23T02:18:03.000Z,63.3915,-151.8254,1.1,ak
2013-11-23T01:24:27.700Z,34.9995,-120.4335,1.7,ci
2013-11-23T01:12:26.000Z,60.4854,-148.3836,2.4,ak
2013-11-23T01:11:05.730Z,39.3487,-119.9957,2.73,nn
2013-11-23T00:47:29.000Z,19.1494,-67.7525,2.8,pr
2013-11-23T00:39:40.000Z,63.575,-147.3948,1.9,ak
2013-11-23T00:32:13.400Z,32.9065,-115.9568,1.4,ci
2013-11-23T00:25:27.000Z,46.444,-118.0648,2.1,uw
2013-11-23T00:20:34.000Z,51.458,-178.753,2.4,ak
2013-11-23T00:19:34.800Z,32.9038,-115.953,1.3,ci
2013-11-23T00:00:28.000Z,64.9818,-147.3562,1.6,ak
2013-11-22T23:24:47.850Z,19.7191,-70.8164,4.3,us
2013-11-22T23:19:17.900Z,32.9053,-116.2687,1,ci
2013-11-22T22:36:30.500Z,45.3712,-121.706,2.3,uw
2013-11-22T22:32:32.180Z,44.644,124.1713,4.9,us
2013-11-22T22:32:28.600Z,45.3658,-121.6918,1.1,uw
2013-11-22T22:12:54.000Z,64.6168,-151.1161,2,ak
2013-11-22T22:07:33.600Z,49.28,-120.581,2.4,uw
2013-11-22T22:04:25.780Z,44.5744,123.9961,5.5,us
2013-11-22T21:55:34.800Z,44.2135,-123.1987,1.5,uw
2013-11-22T21:53:20.900Z,36.0278,-117.768,2.7,ci
2013-11-22T21:45:48.500Z,36.0303,-117.7682,1,ci
2013-11-22T21:05:11.670Z,41.619,137.8289,5.3,us
2013-11-22T21:02:54.000Z,50.4369,-174.8938,2.5,ak
2013-11-22T21:02:32.930Z,34.0926,45.6163,4.4,us
2013-11-22T21:00:46.000Z,60.4358,-148.4797,2.2,ak
2013-11-22T20:52:23.000Z,62.4257,-148.4428,1.3,ak
2013-11-22T20:45:34.145Z,38.1306,-118.2308,1.77,nn
2013-11-22T20:44:05.700Z,35.7228,-121.1075,1.2,nc
2013-11-22T20:26:25.900Z,43.841,-123.1952,1.9,uw
2013-11-22T20:21:20.700Z,37.3263,-122.1007,1.7,nc
2013-11-22T19:45:12.400Z,48.0968,-122.2818,1,uw
2013-11-22T19:42:11.500Z,38.1091,-83.519,2.1,se
2013-11-22T19:30:40.300Z,36.2915,-120.8555,1.3,nc
2013-11-22T18:32:53.950Z,-7.2709,131.1443,4.1,us
2013-11-22T18:30:58.060Z,34.3294,45.6866,5.6,us
2013-11-22T18:29:12.800Z,19.4063,-155.4178,2,hv
2013-11-22T18:20:25.000Z,62.7897,-150.3565,1.7,ak
2013-11-22T18:10:14.000Z,34.6273,-117.1135,1.7,ci
2013-11-22T17:54:58.000Z,19.3725,-155.2428,1.7,hv
2013-11-22T17:35:00.000Z,52.0521,179.7144,2.5,ak
2013-11-22T17:20:58.360Z,5.4288,92.8011,5.5,us
2013-11-22T17:18:36.000Z,34.1955,-117.4992,1.2,ci
2013-11-22T16:10:26.000Z,33.7015,-116.811,1.3,ci
2013-11-22T15:36:17.000Z,58.9916,-149.5256,1.9,ak
2013-11-22T15:27:42.160Z,-5.0968,153.9025,5.4,us
2013-11-22T15:12:06.050Z,39.1356,22.3875,4.1,us
2013-11-22T15:10:19.000Z,62.5582,-151.0816,1.9,ak
2013-11-22T15:06:01.680Z,-57.6663,-25.3319,5.2,us
2013-11-22T15:03:18.000Z,60.2119,-151.1461,1.8,ak
2013-11-22T14:33:59.510Z,36.1692,-96.9626,3.7,us
2013-11-22T14:30:15.300Z,38.8972,-123.0005,1.4,nc
2013-11-22T14:03:23.800Z,19.42,-67.0662,3.2,pr
2013-11-22T14:03:12.200Z,38.7762,-122.729,2.5,nc
2013-11-22T13:58:12.700Z,40.6375,-121.2262,1.5,nc
2013-11-22T13:58:07.000Z,59.9628,-153.589,4.4,ak
2013-11-22T13:35:20.900Z,33.9602,-116.8615,1.2,ci
2013-11-22T13:13:18.400Z,33.4647,-118.0073,1.9,ci
2013-11-22T13:10:15.600Z,34.093,-116.6665,1.1,ci
2013-11-22T13:08:58.400Z,17.9582,-68.463,2.9,pr
2013-11-22T12:53:40.000Z,35.5867,-120.9437,1,nc
2013-11-22T12:51:11.500Z,18.3505,-67.0951,2.1,pr
2013-11-22T12:32:16.100Z,-5.8229,129.9533,4.4,us
2013-11-22T11:35:11.000Z,61.0993,-150.6831,1.8,ak
2013-11-22T11:16:57.000Z,61.0497,-148.9732,2,ak
2013-11-22T10:58:19.000Z,62.9695,-149.5001,1.8,ak
2013-11-22T10:47:29.020Z,35.723,-97.381,2,us
2013-11-22T10:18:19.900Z,19.3668,-155.2462,2.1,hv
2013-11-22T09:58:17.000Z,60.7015,-151.5189,1.9,ak
2013-11-22T09:47:59.000Z,33.7143,-118.0837,1.4,ci
2013-11-22T09:46:44.200Z,33.9483,-118.409,1.4,ci
2013-11-22T09:46:00.400Z,33.9528,-118.414,1.5,ci
2013-11-22T09:40:47.000Z,63.4419,-147.1873,1.1,ak
2013-11-22T09:29:10.500Z,36.0477,-117.4668,1.6,ci
